CMS Unit ID,AAT BroaderTerm,Broader Term - URIs,Primary Unit Identifier,Title
11172339,hardware (components),http://vocab.getty.edu/aat/300033260,317.42.18,Door Hardware
11172326,architectural elements,http://vocab.getty.edu/aat/300000885,317.65.13,Brace (Supporting Element)
11172327,hardware (components),http://vocab.getty.edu/aat/300033260,317.73.13,Strap Hinge
11172340,architectural elements,http://vocab.getty.edu/aat/300000885,317.96.3,Window Screen
11172341,hardware (components),http://vocab.getty.edu/aat/300033260,317.98.6,Doorknob
11172342,architectural elements,http://vocab.getty.edu/aat/300000885,317.98.21,Window Screen
11172343,hardware (components),http://vocab.getty.edu/aat/300033260,317.110.10,Pin (Hinge Component)
11172344,hardware (components),http://vocab.getty.edu/aat/300033260,317.111.9,Bolt (Latch And Lock Component)
11172345,Object Genres (hierarchy name),http://vocab.getty.edu/aat/300185711,317.120.15,Fragment (Object Portion)
11172328,hardware (components),http://vocab.getty.edu/aat/300033260,317.139.8,Hinge (Hardware)
11172329,Object Genres (hierarchy name),http://vocab.getty.edu/aat/300185711,317.140.3,Artifact
11172330,hardware (components),http://vocab.getty.edu/aat/300033260,317.154.14,Bracket (Finish Hardware)
11172346,hardware (components),http://vocab.getty.edu/aat/300033260,317.174.37,Hinge (Hardware)
11172347,hardware (components),http://vocab.getty.edu/aat/300033260,317.178.2,Key (Hardware)
11172348,Object Genres (hierarchy name),http://vocab.getty.edu/aat/300185711,317.194.6,Fragment (Object Portion)
11172349,Object Genres (hierarchy name),http://vocab.getty.edu/aat/300185711,317.202.3,Artifact
11172331,hardware (components),http://vocab.getty.edu/aat/300033260,317.206.17,Escutcheon (Hardware)
11172350,fasteners,http://vocab.getty.edu/aat/300036363,317.209.47,Staple
11172353,Object Genres (hierarchy name),http://vocab.getty.edu/aat/300185711,317.215.31,Artifact
11172351,hardware (components),http://vocab.getty.edu/aat/300033260,317.221.14,Key (Hardware)
11172352,fasteners,http://vocab.getty.edu/aat/300036363,317.221.46,Staple
11172354,hardware (components),http://vocab.getty.edu/aat/300033260,317.228.11,Shutter Bar
11172355,fasteners,http://vocab.getty.edu/aat/300036363,317.235.50,Staple
11172356,hardware (components),http://vocab.getty.edu/aat/300033260,317.258.12,Key (Hardware)
11172357,Object Genres (hierarchy name),http://vocab.getty.edu/aat/300185711,317.285.2,Artifact
11172358,hardware (components),http://vocab.getty.edu/aat/300033260,317.327.9,Strap Hinge
11172361,Object Genres (hierarchy name),http://vocab.getty.edu/aat/300185711,317.341.21,Tie Rod
11172360,fasteners,http://vocab.getty.edu/aat/300036363,317.356.3,Spike (Straight Fastener)
11172362,Object Genres (hierarchy name),http://vocab.getty.edu/aat/300185711,317.359.16,Artifact
11172363,Tools and Equipment (hierarchy name),http://vocab.getty.edu/aat/300022238,317.384.87,Pulley
11172332,Object Genres (hierarchy name),http://vocab.getty.edu/aat/300185711,317.384.88,Artifact
11172333,hardware (components),http://vocab.getty.edu/aat/300033260,317.392.9,Doorknob
11172364,fasteners,http://vocab.getty.edu/aat/300036363,317.404.1,Spike (Straight Fastener)
11172325,Object Genres (hierarchy name),http://vocab.getty.edu/aat/300185711,317.405.6,Pipe (Conduit)
11172365,Object Genres (hierarchy name),http://vocab.getty.edu/aat/300185711,317.406.2,Fragment (Object Portion)
11172334,Object Genres (hierarchy name),http://vocab.getty.edu/aat/300185711,317.407.11,Pipe (Conduit)
11172335,Object Genres (hierarchy name),http://vocab.getty.edu/aat/300185711,317.410.1,Disk (Object Genre)
11172336,Object Genres (hierarchy name),http://vocab.getty.edu/aat/300185711,317.410.2,Pipe (Conduit)
11172337,Object Genres (hierarchy name),http://vocab.getty.edu/aat/300185711,317.413.1,Pipe (Conduit)
11172321,Object Genres (hierarchy name),http://vocab.getty.edu/aat/300185711,317.413.5,Sheet (Flat Object)
11172322,Object Genres (hierarchy name),http://vocab.getty.edu/aat/300185711,317.413.6,Sheet (Flat Object)
11172368,Object Genres (hierarchy name),http://vocab.getty.edu/aat/300185711,317.414.1,Strip (Object Genre)
11172323,Object Genres (hierarchy name),http://vocab.getty.edu/aat/300185711,317.414.2,Pipe (Conduit)
11172320,Components (hierarchy name),http://vocab.getty.edu/aat/300241490,317.414.3,Base (Object Component)
11172324,Object Genres (hierarchy name),http://vocab.getty.edu/aat/300185711,317.424.4,Pipe (Conduit)
11172366,Object Genres (hierarchy name),http://vocab.getty.edu/aat/300185711,317.424.5,Strip (Object Genre)
11172369,Object Genres (hierarchy name),http://vocab.getty.edu/aat/300185711,317.431.5,Rod (Object Genre)
11172367,hardware (components),http://vocab.getty.edu/aat/300033260,317.433.4,Hardware (Component)
